ID,ProjectCode,Name,Client,StartDate,EndDate,Budget,InfrastructureCost,LicenseCost,Status,Criticality,ProjectManager_ID,createdAt,createdBy,modifiedAt,modifiedBy
a1111111-1111-1111-1111-111111111111,P001,E-Commerce Platform,Amazon,2026-06-01,2026-12-31,200000,50000,30000,Active,3,e1111111-1111-1111-1111-111111111111,2026-05-19,anonymous,2026-05-20,anonymous
a1111111-1111-1111-1111-111111111112,P002,HR Automation,TCS,2026-07-01,2026-10-31,120000,50000,30000,OnHold,2,e1111111-1111-1111-1111-111111111112,2026-05-19,anonymous,2026-05-20,anonymous
a1111111-1111-1111-1111-111111111113,P003,Finance Dashboard,Infosys,2026-06-15,2026-09-30,90000,50000,30000,Planning,2,e1111111-1111-1111-1111-111111111114,2026-05-19,anonymous,2026-05-20,anonymous
a1111111-1111-1111-1111-111111111114,P004,Security Audit Tool,Wipro,2026-03-01,2026-08-30,75000,50000,30000,Active,3,e1111111-1111-1111-1111-111111111118,2026-05-19,anonymous,2026-05-20,anonymous
a1111111-1111-1111-1111-111111111115,P005,Customer Support Portal,Zoho,2026-01-20,2026-07-15,65000,50000,30000,OnHold,2,e1111111-1111-1111-1111-111111111119,2026-05-19,anonymous,2026-05-20,anonymous
a1111111-1111-1111-1111-111111111116,P006,Marketing Analytics,Flipkart,2026-08-10,2026-11-30,95000,50000,30000,Cancelled,1,e1111111-1111-1111-1111-111111111115,2026-05-19,anonymous,2026-05-20,anonymous
a1111111-1111-1111-1111-111111111117,P007,Inventory Management,Dell,2026-01-05,2026-12-01,150000,50000,30000,Active,3,e1111111-1111-1111-1111-111111111116,2026-05-19,anonymous,2026-05-20,anonymous
a1111111-1111-1111-1111-111111111118,P008,Mobile Banking App,HDFC,2026-02-15,2026-12-31,180000,50000,30000,Planning,2,e1111111-1111-1111-1111-111111111117,2026-05-19,anonymous,2026-05-20,anonymous
a1111111-1111-1111-1111-111111111119,P009,AI Chatbot System,Microsoft,2026-03-01,2026-09-30,110000,50000,30000,Active,3,e1111111-1111-1111-1111-111111111111,2026-05-19,anonymous,2026-05-20,anonymous
a1111111-1111-1111-1111-111111111120,P010,Cloud Migration,IBM,2026-07-10,2026-08-15,130000,50000,30000,Completed,5,e1111111-1111-1111-1111-111111111112,2026-05-19,anonymous,2026-05-20,anonymous
